timestamp,age,weekday_sleep,weekend_sleep,tired_morning,insomnia,stress_level,physical_activity
2025-07-19 19:23:07,30–39,4–6시간,4–6시간,가끔 그렇다,예,8,아니오
2025-07-19 19:23:07,20–29,6–8시간,<4시간,항상 그렇다,예,5,예
2025-07-19 19:23:07,20–29,<4시간,<4시간,가끔 그렇다,아니오,7,예
2025-07-19 19:23:07,30–39,8시간 이상,4–6시간,항상 그렇다,예,9,아니오
2025-07-19 19:23:07,30–39,6–8시간,6–8시간,항상 그렇다,예,6,아니오
2025-07-19 19:23:07,30–39,6–8시간,<4시간,항상 그렇다,예,7,예
2025-07-19 19:23:07,20–29,8시간 이상,<4시간,항상 그렇다,아니오,6,아니오
2025-07-19 19:23:07,30–39,8시간 이상,<4시간,전혀 없다,예,7,아니오
2025-07-19 19:23:07,20–29,6–8시간,8시간 이상,가끔 그렇다,아니오,4,아니오
2025-07-19 19:23:07,10–19,<4시간,<4시간,전혀 없다,아니오,7,아니오
2025-07-19 19:23:07,20–29,<4시간,<4시간,가끔 그렇다,아니오,10,아니오
2025-07-19 19:23:07,30–39,6–8시간,4–6시간,항상 그렇다,예,10,예
2025-07-19 19:23:07,10–19,8시간 이상,8시간 이상,전혀 없다,예,4,예
2025-07-19 19:23:07,20–29,<4시간,6–8시간,가끔 그렇다,예,9,예
2025-07-19 19:23:07,20–29,4–6시간,<4시간,가끔 그렇다,아니오,3,예
2025-07-19 19:23:07,20–29,<4시간,8시간 이상,가끔 그렇다,예,1,예
2025-07-19 19:23:07,20–29,6–8시간,<4시간,항상 그렇다,예,10,예
2025-07-19 19:23:07,40–49,4–6시간,8시간 이상,전혀 없다,예,2,예
2025-07-19 19:23:07,40–49,<4시간,4–6시간,전혀 없다,아니오,6,아니오
2025-07-19 19:23:07,10–19,4–6시간,8시간 이상,가끔 그렇다,예,9,아니오
2025-07-19 19:23:07,10–19,4–6시간,<4시간,항상 그렇다,예,1,예
2025-07-19 19:23:07,30–39,8시간 이상,8시간 이상,가끔 그렇다,아니오,5,예
2025-07-19 19:23:07,20–29,4–6시간,8시간 이상,항상 그렇다,아니오,2,예
2025-07-19 19:23:07,20–29,8시간 이상,8시간 이상,전혀 없다,예,3,예
2025-07-19 19:23:07,20–29,4–6시간,8시간 이상,가끔 그렇다,예,7,예
2025-07-19 19:23:07,20–29,8시간 이상,<4시간,가끔 그렇다,예,8,예
2025-07-19 19:23:07,20–29,6–8시간,6–8시간,가끔 그렇다,예,3,아니오
2025-07-19 19:23:07,50+,<4시간,<4시간,항상 그렇다,예,6,예
2025-07-19 19:23:07,20–29,8시간 이상,<4시간,전혀 없다,아니오,5,아니오
2025-07-19 19:23:07,20–29,6–8시간,<4시간,항상 그렇다,예,2,아니오
2025-07-19 19:23:07,10–19,<4시간,<4시간,가끔 그렇다,예,6,아니오
2025-07-19 19:23:07,30–39,<4시간,<4시간,전혀 없다,아니오,8,아니오
2025-07-19 19:23:07,30–39,4–6시간,<4시간,항상 그렇다,아니오,2,아니오
2025-07-19 19:23:07,20–29,6–8시간,8시간 이상,항상 그렇다,아니오,6,아니오
2025-07-19 19:23:07,20–29,<4시간,4–6시간,항상 그렇다,아니오,5,예
2025-07-19 19:23:07,20–29,<4시간,<4시간,전혀 없다,예,8,예
2025-07-19 19:23:07,20–29,8시간 이상,6–8시간,항상 그렇다,예,1,예
2025-07-19 19:23:07,20–29,6–8시간,<4시간,가끔 그렇다,예,5,예
2025-07-19 19:23:07,30–39,4–6시간,<4시간,항상 그렇다,예,10,예
2025-07-19 19:23:07,20–29,4–6시간,<4시간,전혀 없다,아니오,9,아니오
2025-07-19 19:23:07,20–29,<4시간,6–8시간,가끔 그렇다,예,6,아니오
2025-07-19 19:23:07,50+,<4시간,4–6시간,전혀 없다,예,6,아니오
2025-07-19 19:23:07,30–39,6–8시간,<4시간,전혀 없다,예,8,예
2025-07-19 19:23:07,20–29,8시간 이상,8시간 이상,가끔 그렇다,아니오,6,예
2025-07-19 19:23:07,20–29,6–8시간,<4시간,항상 그렇다,예,7,아니오
2025-07-19 19:23:07,10–19,8시간 이상,8시간 이상,전혀 없다,예,8,예
2025-07-19 19:23:07,20–29,4–6시간,4–6시간,전혀 없다,예,6,아니오
2025-07-19 19:23:07,30–39,6–8시간,8시간 이상,항상 그렇다,예,1,예
2025-07-19 19:23:07,20–29,4–6시간,6–8시간,항상 그렇다,아니오,8,예
2025-07-19 19:23:07,50+,4–6시간,6–8시간,전혀 없다,아니오,1,예
2025-07-19 19:23:07,10–19,6–8시간,6–8시간,가끔 그렇다,예,10,아니오
2025-07-19 19:23:07,10–19,<4시간,6–8시간,가끔 그렇다,아니오,4,예
2025-07-19 19:23:07,50+,4–6시간,8시간 이상,가끔 그렇다,아니오,2,아니오
2025-07-19 19:23:07,50+,8시간 이상,4–6시간,가끔 그렇다,아니오,3,아니오
2025-07-19 19:23:07,20–29,<4시간,4–6시간,전혀 없다,아니오,7,아니오
2025-07-19 19:23:07,30–39,8시간 이상,<4시간,전혀 없다,예,1,아니오
2025-07-19 19:23:07,20–29,<4시간,8시간 이상,전혀 없다,아니오,10,아니오
2025-07-19 19:23:07,10–19,<4시간,8시간 이상,항상 그렇다,예,8,예
2025-07-19 19:23:07,10–19,8시간 이상,6–8시간,항상 그렇다,예,4,아니오
2025-07-19 19:23:07,10–19,6–8시간,8시간 이상,전혀 없다,아니오,5,예
2025-07-19 19:23:07,30–39,<4시간,8시간 이상,가끔 그렇다,아니오,1,아니오
2025-07-19 19:23:07,20–29,<4시간,8시간 이상,항상 그렇다,예,6,예
2025-07-19 19:23:07,20–29,4–6시간,8시간 이상,항상 그렇다,예,5,예
2025-07-19 19:23:07,20–29,<4시간,<4시간,항상 그렇다,아니오,6,아니오
2025-07-19 19:23:07,40–49,<4시간,8시간 이상,가끔 그렇다,아니오,6,예
2025-07-19 19:23:07,20–29,6–8시간,8시간 이상,전혀 없다,예,7,예
2025-07-19 19:23:07,20–29,6–8시간,<4시간,전혀 없다,예,4,예
2025-07-19 19:23:07,20–29,4–6시간,4–6시간,항상 그렇다,아니오,8,예
2025-07-19 19:23:07,20–29,<4시간,6–8시간,항상 그렇다,예,1,예
2025-07-19 19:23:07,20–29,<4시간,4–6시간,가끔 그렇다,예,5,예
2025-07-19 19:23:07,40–49,6–8시간,<4시간,항상 그렇다,예,6,아니오
2025-07-19 19:23:07,20–29,8시간 이상,8시간 이상,가끔 그렇다,아니오,7,예
2025-07-19 19:23:07,50+,4–6시간,<4시간,전혀 없다,예,10,아니오
2025-07-19 19:23:07,20–29,8시간 이상,4–6시간,전혀 없다,예,7,예
2025-07-19 19:23:07,20–29,<4시간,<4시간,전혀 없다,아니오,6,예
2025-07-19 19:23:07,20–29,8시간 이상,8시간 이상,가끔 그렇다,예,7,아니오
2025-07-19 19:23:07,20–29,8시간 이상,6–8시간,가끔 그렇다,예,7,아니오
2025-07-19 19:23:07,20–29,6–8시간,6–8시간,전혀 없다,아니오,9,아니오
2025-07-19 19:23:07,20–29,<4시간,4–6시간,전혀 없다,예,6,아니오
2025-07-19 19:23:07,20–29,8시간 이상,4–6시간,전혀 없다,예,5,아니오
2025-07-19 19:23:07,20–29,6–8시간,<4시간,항상 그렇다,아니오,5,아니오
2025-07-19 19:23:07,40–49,4–6시간,8시간 이상,가끔 그렇다,예,5,예
2025-07-19 19:23:07,20–29,6–8시간,8시간 이상,가끔 그렇다,아니오,10,예
2025-07-19 19:23:07,20–29,4–6시간,6–8시간,전혀 없다,예,1,예
2025-07-19 19:23:07,20–29,6–8시간,8시간 이상,항상 그렇다,예,1,아니오
2025-07-19 19:23:07,20–29,<4시간,6–8시간,전혀 없다,예,5,예
2025-07-19 19:23:07,20–29,<4시간,<4시간,전혀 없다,아니오,2,아니오
2025-07-19 19:23:07,20–29,4–6시간,6–8시간,항상 그렇다,아니오,2,예
2025-07-19 19:23:07,20–29,4–6시간,6–8시간,가끔 그렇다,아니오,5,예
2025-07-19 19:23:07,20–29,4–6시간,6–8시간,가끔 그렇다,예,2,예
2025-07-19 19:23:07,30–39,6–8시간,4–6시간,전혀 없다,아니오,4,아니오
2025-07-19 19:23:07,40–49,6–8시간,8시간 이상,항상 그렇다,예,3,예
2025-07-19 19:23:07,20–29,6–8시간,8시간 이상,전혀 없다,예,2,아니오
2025-07-19 19:23:07,30–39,<4시간,6–8시간,항상 그렇다,예,4,예
2025-07-19 19:23:07,10–19,<4시간,<4시간,항상 그렇다,예,1,예
2025-07-19 19:23:07,20–29,<4시간,4–6시간,가끔 그렇다,예,1,예
2025-07-19 19:23:07,40–49,8시간 이상,<4시간,가끔 그렇다,예,6,아니오
2025-07-19 19:23:07,30–39,<4시간,4–6시간,전혀 없다,예,3,아니오
2025-07-19 19:23:07,30–39,6–8시간,4–6시간,항상 그렇다,예,10,아니오
2025-07-19 19:23:07,20–29,4–6시간,8시간 이상,전혀 없다,예,4,아니오
2025-07-19 19:23:07,30–39,<4시간,<4시간,가끔 그렇다,예,1,아니오
2025-07-19 19:23:07,20–29,6–8시간,4–6시간,가끔 그렇다,아니오,6,예
2025-07-19 19:23:07,50+,8시간 이상,4–6시간,항상 그렇다,아니오,10,예
